id,title,author,genre,publication_year,plot
497,La Mansión Maldita,Enrique Negro,Horror,1994,A group of friends spends the night in a haunted mansion and faces their darkest fears.
498,El Secreto Antiguo,Clara Blanca,Historical Fiction,1993,An ancient secret is revealed changing the course of history.
499,El Lago Místico,Eleonor Verde,Fantasy,1992,A young girl discovers a mystical lake that grants wishes.
500,El Viaje del Viajero del Tiempo,Benjamín Gris,Science Fiction,1991,A time traveler embarks on a journey through time to change the past.
501,El Observador Silencioso,Sofía Piedra,Mystery,1990,A detective solves a murder case with the help of a silent observer.
502,La Ciudad Perdida,Samuel Marrón,Adventure,1989,A group of explorers discovers a lost city hidden deep within the jungle.
503,La Melodía Lunar,Isabella Rosa,Romance,1988,A musician and a dancer fall in love during a moonlit performance.
504,La Villa Encantada,Alejandro Oscuro,Horror,1987,A family moves into a haunted villa and experiences terrifying events.
505,El Legado Olvidado,Victoria Calle,Historical Fiction,1986,A historian uncovers a forgotten legacy that changes the course of history.
506,El Prado Encantado,Olivia Azul,Fantasy,1985,A magical meadow comes to life leading a young girl on a thrilling adventure.
507,La Era Digital,Thomas Gris,Science Fiction,1984,A computer programmer creates an AI that takes over the world.
508,El Rastro de Desaparición,Emma Pierre,Mystery,1983,A detective investigates a series of disappearances that seem to be connected.
509,El Templo Oculto,Ricardo Marrón,Adventure,1982,A group of explorers discovers a hidden temple filled with ancient treasures.
510,El Abrazo Estrellado,Amelia Rosa,Romance,1981,A couple finds love while embracing under the stars.
511,La Residencia Maldita,Enrique Negro,Horror,1980,A group of friends spends the night in a haunted residence and faces their darkest fears.
512,El Enigma Antiguo,Clara Blanca,Historical Fiction,1979,An ancient enigma is revealed changing the course of history.
513,El Río Místico,Eleonor Verde,Fantasy,1978,A young girl discovers a mystical river that grants wishes.
514,La Odisea del Viajero del Tiempo,Benjamín Gris,Science Fiction,1977,A time traveler embarks on an odyssey through time to change the past.
515,El Guardián Silencioso,Sofía Piedra,Mystery,1976,A detective solves a murder case with the help of a silent guardian.
516,La Fortaleza Perdida,Samuel Marrón,Adventure,1975,A group of explorers discovers a lost fortress hidden deep within the mountains.
517,La Armonía Lunar,Isabella Rosa,Romance,1974,A musician and a dancer fall in love during a moonlit performance.
518,Il Palazzo Infestato,Alessandro Oscuro,Horror,1973,A family moves into a haunted palace and experiences terrifying events.
519,L'Eredità Dimenticata,Vittoria Via,Historical Fiction,1972,A historian uncovers a forgotten inheritance that changes the course of history.
520,Il Boschetto Incantato,Olivia Blu,Fantasy,1971,A magical grove comes to life leading a young girl on a thrilling adventure.
